2.500000,0.000000
2.499940,0.014590
2.499762,0.029179
2.499464,0.043767
2.499046,0.058351
2.498510,0.072931
2.497855,0.087507
2.497080,0.102076
2.496186,0.116639
2.495174,0.131194
2.494042,0.145741
2.492792,0.160277
2.491423,0.174803
2.489935,0.189317
2.488329,0.203819
2.486604,0.218307
2.484760,0.232780
2.482799,0.247238
2.480719,0.261679
2.478521,0.276103
2.476205,0.290508
2.473772,0.304894
2.471220,0.319260
2.468552,0.333604
2.465766,0.347926
2.462862,0.362224
2.459842,0.376499
2.456705,0.390748
2.453452,0.404970
2.450082,0.419166
2.446595,0.433334
2.442993,0.447472
2.439275,0.461581
2.435441,0.475659
2.431493,0.489704
2.427428,0.503717
2.423250,0.517696
2.418956,0.531640
2.414548,0.545549
2.410026,0.559421
2.405391,0.573255
2.400642,0.587051
2.395779,0.600807
2.390804,0.614523
2.385716,0.628197
2.380515,0.641829
2.375203,0.655418
2.369779,0.668962
2.364244,0.682462
2.358597,0.695915
2.352840,0.709322
2.346973,0.722680
2.340996,0.735990
2.334909,0.749250
2.328713,0.762459
2.322408,0.775617
2.315995,0.788722
2.309473,0.801774
2.302844,0.814771
2.296108,0.827713
2.289265,0.840599
2.282315,0.853428
2.275260,0.866199
2.268099,0.878911
2.260833,0.891563
2.253462,0.904155
2.245987,0.916685
2.238408,0.929152
2.230726,0.941557
2.222942,0.953896
2.215055,0.966171
2.207066,0.978380
2.198976,0.990522
2.190785,1.002596
2.182494,1.014602
2.174103,1.026538
2.165613,1.038404
2.157025,1.050198
2.148338,1.061921
2.139553,1.073570
2.130672,1.085146
2.121694,1.096647
2.112620,1.108073
2.103451,1.119422
2.094188,1.130694
2.084830,1.141888
2.075378,1.153003
2.065834,1.164038
2.056197,1.174993
2.046469,1.185867
2.036649,1.196658
2.026739,1.207367
2.016740,1.217991
2.006651,1.228531
1.996474,1.238986
1.986208,1.249354
1.975856,1.259635
1.965417,1.269829
1.954893,1.279934
1.944283,1.289949
1.933589,1.299875
1.922811,1.309709
1.911951,1.319452
1.901008,1.329102
1.889983,1.338659
1.878878,1.348122
1.867692,1.357490
1.856427,1.366763
1.845084,1.375939
1.833663,1.385018
1.822165,1.393999
1.810590,1.402882
1.798940,1.411666
1.787215,1.420350
1.775417,1.428933
1.763545,1.437414
1.751601,1.445794
1.739586,1.454071
1.727499,1.462244
1.715343,1.470313
1.703118,1.478277
1.690825,1.486135
1.678465,1.493887
1.666038,1.501532
1.653545,1.509070
1.640988,1.516499
1.628367,1.523819
1.615683,1.531030
1.602937,1.538130
1.590130,1.545119
1.577262,1.551997
1.564336,1.558763
1.551350,1.565415
1.538308,1.571955
1.525208,1.578380
1.512053,1.584691
1.498844,1.590886
1.485580,1.596965
1.472264,1.602928
1.458896,1.608774
1.445478,1.614503
1.432009,1.620113
1.418492,1.625604
1.404926,1.630976
1.391314,1.636228
1.377656,1.641360
1.363953,1.646370
1.350207,1.651260
1.336417,1.656027
1.322586,1.660671
1.308714,1.665193
1.294802,1.669591
1.280852,1.673864
1.266864,1.678014
1.252840,1.682038
1.238780,1.685936
1.224686,1.689709
1.210558,1.693355
1.196399,1.696874
1.182208,1.700266
1.167988,1.703529
1.153739,1.706665
1.139461,1.709672
1.125158,1.712550
1.110829,1.715298
1.096475,1.717916
1.082099,1.720404
1.067700,1.722761
1.053281,1.724987
1.038842,1.727082
1.024384,1.729045
1.009909,1.730875
0.995418,1.732573
0.980912,1.734138
0.966392,1.735570
0.951860,1.736869
0.937316,1.738033
0.922762,1.739064
0.908199,1.739960
0.893629,1.740721
0.879052,1.741347
0.864470,1.741838
0.849884,1.742193
0.835296,1.742413
0.820706,1.742497
0.806115,1.742444
0.791526,1.742255
0.776940,1.741929
0.762357,1.741466
0.747779,1.740867
0.733207,1.740130
0.718643,1.739255
0.704088,1.738243
0.689543,1.737094
0.675010,1.735806
0.660490,1.734381
0.645983,1.732817
0.631493,1.731115
0.617019,1.729275
0.602563,1.727296
0.588128,1.725179
0.573713,1.722924
0.559320,1.720529
0.544952,1.717997
0.530608,1.715325
0.516291,1.712515
0.502002,1.709566
0.487742,1.706479
0.473513,1.703253
0.459316,1.699888
0.445152,1.696384
